job,description
Database Architect,"Database architects are responsible for designing, implementing, and testing database features for their organization. They are in charge of developing innovative database solutions that increase company productivity and minimize downtime.  Their main responsibilities include maintaining database and automated processes and interacting with other information technology specialists, sharing important information related to database concerns and constrains. Other tasks performed by database architects include developing database solutions for performance and scalability, training and mentoring junior database developers on proprietary software and scripts, and optimizing database performance with tuning tasks, and query optimization Database architects also keep database backup plans to avoid data loss and conduct regular performance and integrity tests, as well as write detailed reports based on the results. Database architects recommend quality changes to existing database designs based on their observations. They use a personal computer to create databases, modify existing database designs, and verify the correct functioning and integrity of database values.  A bachelor's degree in database design, computer science, information technology, or a similar field is required for this position. In addition, previous experience in a database-handling capacity - as well as industry certifications - are often required or preferred. Database architects should be proficient with database programming languages to create scripts. They must be organized individuals that can work in a fast-paced environment and multitask on several projects at the same time. Additionally, these professionals must work well in a team environment with other database architects to implement features and achieve all company objectives in a timely manner. They should also work effectively by themselves with minimal supervision.  Read less"
Database Coordinator,"Database coordinators are generally responsible for clinical databases in a range of industries. They commonly oversee the positions of conduct-screening, data entry, and quality assurance and provide updated inventory of all data that is entered into the database on a regular basis. Depending on the employer, the types of quality control checks and data entry methods can vary. They may also be responsible for ensuring that the entire database is in order and organized so that employees within the organization can access important information. Database coordinators should also be able to utilize different types of database programs, as some companies change or update their programs each year. A strong background in computer science and information is highly beneficial for this position and a bachelor’s degree in computer science or a related field is generally required, and some employers may require a master's degree. Reasoning and mathematical skills are also beneficial, as are communication skills to portray and explain data in understandable ways to employees and even the general public in some cases.  Read less"
Database Design Administrator,"A database design administrator is typically a key employee in an organization's information technology department. He or she has the responsibilities of designing or materially modifying the way the company handles, stores, and accesses data.  The database design administrator's tasks can include assessing hardware needs and upgrades, implementing database storage and access software, and setting up security and access protocols for the company. One of the first things a database design  …Read more"
Database Developer,"Database developers work in the IT department and are responsible for the development and maintenance of databases while following specific coding standards. They will often analyze current database procedures in order to develop comprehensive solutions to modernize, streamline and/or eliminate inefficient coding. This involves monitoring, troubleshooting and debugging databases to solve performance issues. Database developers also create ad-hoc scripts and cleanup scripts as needed. In addition, they deliver written reports reviewing current coding and make recommendations on changes that should be made to enhance performance. They also often collaborate with other members of a development team in order to give and receive feedback, and to develop the best solutions and procedures for the business.   Most employers require database developers to have previous experience with database development, data analysis and unit testing. Experience with SQL and development techniques is almost always required, in addition to a bachelor's degree in computer science or a related field. Appropriate levels of work experience may sometimes be considered an appropriate substitute for a degree. Database developers should be highly organized, with skills that include excellent written and verbal communication, problem solving, data analysis and the ability to work alone or with others as needed. Most employers consider knowledge of how to work with multi-database environments integral to their database development position, so prior experience is a plus. Outside technologies and development programs that are used vary depending on the company, so the ability to pick up technical skills quickly and adapt to new technologies as they are introduced is imperative.  Read less"
Database Engineer,"A database engineer creates and manages databases for a company or organization. This involves designing and building databases to suit a purpose.  The database engineer must also install and configure the database. The database engineer must make sure that the databases are secure and that they function properly.  Once a database is implemented, the database engineer must carry out constant testing and monitoring to make sure that the database is functioning as it should. This often requires troubleshooting, so problem-solving skills are important. When updates need to be implemented, the database engineer needs to coordinate this so that it can be carried out in the least disruptive way. This job requires extensive experience with administering and providing support for databases. Security is not always the only issue that is important. Another thing that the database engineer may have to consider is usability for end users. The database engineer must sometimes create a database that is easy for end users to enter data into. The database engineer may have multiple projects to manage, so it is important to be able to work independently, to adhere to time constraints, and to work well under pressure even when multitasking is needed. At the same time, teamwork skills are also essential in order to ensure the smooth implementation of databases. Advanced experience with Oracle and SQL is usually necessary.  A bachelor’s degree in computer science or a similar field is often needed.  Some positions also require a master’s degree. However, some positions only require an associate’s degree in conjunction with adequate experience. The job usually involves working in an office environment. Some travel may be necessary in order to meet with various departments or clients.  Read less"
Database Manager,"Database managers serve as an essential part of the management of large databases. They typically manage many projects and help with the design and physical implementation of storage hardware and maintenance. Database managers specialize in the diagnosis and repair of problems that occur in databases. They may work with various types of databases that use software such as MySQL and Oracle. The allocation of resources is important as a database manager because there can potentially be shifts and moves of large chunks of data to different storage platforms and software systems. Since data managers manage fragile and sensitive data, it is important that they maintain high ethical standards and conduct themselves professionally. Database managers often work in a standard office environment during regular business hours. Because maintaining a database is a continuous job, database managers may be on call in the event of an emergency or loss of service. Database managers work with the technical staff that is directly responsible with keeping the database up and running; they also interact with users that use software programs to store data in the databases. Database managers must be willing to lead and direct individuals with specific work tasks and provide guidance and training to lower-level staff.   Prospective database managers typically need a bachelor’s degree in information technology and a minimum of five years in a database leadership position. Along with this educational background, individuals must possess knowledge of different database software.    Read less"
Delphi Developer %2F Programmer,Delphi developers are primarily responsible for creating and editing software using the delphi programming language.  General daily tasks of delphi programmers include: debugging software; designing small- and large-scale software and programs; consulting clients; utilizing frameworks to increase the speed of projects; researching and keeping up with the latest programming trends; working with databases; making server-side applications; working both alone and on teams in order to solve  …Read more
Desktop Support Manager,"Desktop support managers are responsible for the smooth operation of a team of workers whose primary function is to help customers resolve issues with their desktop computers. As such, they should have considerable experience with personnel management, as well as comprehensive knowledge of computers and their many possible malfunctions. Generally, desktop support managers are required to have at least a Bachelor's degree in an information technology-related field, although some in this position reach it in another way, perhaps by starting with a help desk position. Generally speaking, most desktop support managers work in indoor office environments, and often oversee a group of workers in a cubicle environment. While many enjoy standard (first-shift) 40-hour work weeks, some companies operate in a 24-hour capacity, so it is possible that such a manager could work second- or even third-shift hours. Day-to-day responsibilities of a desktop support manager may include scheduling staff, developing manuals or best practices for desktop support teams to follow, designing standardized builds for desktop machines, and even training new employees on requisite software. There are dozens of different packages available to help IT staff track and deliver service to users; as such, the manager is often required to be knowledgeable of, or even certified in, whichever software package their company has chosen for the function. If hired early enough in a company’s inception phase (or if they are fortunate enough to work there via expansions), desktop support managers will likely be called upon to help spec out desktop machines for various levels of users within a company. And, while their work is largely mental, there may also be occasions where they must roll up their sleeves and help with the actual physical deployment of desktop machines.  Read less"
Desktop Support Specialist,"Desktop support specialists are in charge of providing excellent end user experience, which includes resolving potential or actual technical issues. One of their main duties is troubleshooting different software packages, hardware devices, and other peripherals. Additionally, desktop support specialists configure computer systems according to company policies. They must follow strict privacy regulations when it comes to handling sensitive data inside company drives. They help diagnose problems and follow up to ensure their resolution. Additional tasks include performing regular maintenance and updating operating systems while minimizing downtime and increasing productivity. They also help with data back-up duties in case of data corruption. These professionals generally work in an office environment with other specialists and use a personal computer as one of their main tools to report their progress and research possible solutions.  Desktop support specialists must work well with other specialists, including with sharing company resources. They need to work effectively on their own as well and be detail oriented. They must be able to multitask and work under deadlines to complete support tickets. They should have excellent interpersonal skills, with the ability to communicate technical problems and instructions to end users in terms that are easy to understand.  A bachelor's degree in information technology or a related field is necessary for this position. Additional industry certifications and customer oriented working experience may be preferred. They should have advanced knowledge of different operating systems and network solutions.  Read less"
Development Operations (DevOps) Engineer,"Development operations (DevOps) engineers typically work full-time in a company's headquarters and are responsible for the production and ongoing maintenance of a website platform. They also manage cloud infrastructure and system administration and work with teams to identify and repair issues on an as-needed basis, so strong communication skills are important in this position. They are generally expected to work well under pressure with tight deadlines for certain tasks, and a proactive demeanor and friendly disposition are also helpful. DevOps engineers may work with junior and senior engineers, project managers, and executives, as well as administrative assistants, executive assistants, and a receptionist. Hours can be flexible, though they typically work during regular weekly business hours, and they are not usually responsible for customer/client interaction or supervising junior employees. A bachelor's degree in computer science or a related field is generally required for this position, and many employers prefer those who have a master's degree and at least three to five years of work experience in the field, including experience with at least two of the following: CSS, HTTP, SSL, HTML, XML, Java, Linux, Amazon Web Services (AWS), DNS, NoSQL technologies, and web app development.  Read less"
Development Operations (DevOps) Engineering Manager,
Development Operations (DevOps) Manager,"Development operations (DevOps) managers help design and implement staff-development strategies and should have prior experience in leading teams of staff, as they may supervise a range of employees within the organization.  DevOps managers occasionally assist in the hiring process and evaluate prospective candidates, and they must develop training and materials for new and existing workers according to strategic and corporate guidelines. They also oversee current operations within the company to ensure compliance with goals and policies. These managers are also responsible for generating and overseeing the company's budget and its allocation to the workforce, infrastructure development, investments in hardware, and improving training processes. Leadership skills are important in this position, as they must direct and motivate teams of staff to achieve goals and objectives, and they also prepare periodic reports on how their projects have contributed to company performance and operations. These managers work primarily in offices to monitor data and develop strategies to improve company operations, and they occasionally meet with department leaders or spend time on the floor to better understand the workforce and current state of operations.  Read less"
Development Operations Engineer,"Development operations engineers have in-depth knowledge of operational issues and technology and are tasked with studying and observing functioning systems and recording the performance results. They are also responsible for configuring operational priorities, determining project objectives, and developing operations solutions by defining, studying, estimating, and screening alternative solutions. These engineers must anticipate operational problems by studying operating targets, modes of  …Read more"
Digital Producer,"A digital producer's main responsibility is the creation of digital media for projects; this may include web design, music, videos, and other media. The producer is responsible for delivering the client's desired product and making adjustments based on client feedback. Digital producers must be able to prioritize tasks and manage day-to-day operations to ensure that deadlines are met. They are also responsible for assessing risks and proactively addressing potential issues through problem solving; additionally, they must work as part of a team to implement solutions to issues.  A bachelor's degree in a related field is typically the minimum educational requirement for digital producer positions. A minimum of 3 years of direct experience in digital media is generally needed as well. Digital producers must also have posses great attention to detail and be able to work well under pressure. Having an in-depth knowledge of computer programs that are related to web design, video editing, and graphics is strongly preferred by most employers. Being able to communicate efficiently with clients, team managers, and team members is important as well. This is a mentally demanding job, so being able to cope under stress is standard. It is a full time job, with overtime regularly required to meet deadlines. Since it is a computer-focused position, the ability to sit for long periods of times in front of a computer is needed.  Read less"
Digital Strategist,"A digital strategist generally works cooperatively with other members of a strategy team to create long-term goals and plans for their products.  This is a job for a creative and innovative thinker that understands technology and the people who use it.  Companies rely on digital strategists to determine the best direction of digital product and services, so it is important that prospective strategists have a proven track record in this line of work. This person also must have excellent interpersonal communication skills, as   the digital strategist may run meetings and lead a team dealing with digital strategy.   This is often a fast-paced job, and the work load often depends on the requirements of the current project or projects.  When deadlines approach, it is common for this the digital strategist to have to work some nights and weekends in addition to conventional business hours. This position requires the ability to analyze large quantities of data and identify the most important pieces of this data for the company and its digital offerings.  This includes a vast knowledge of current market trends, as well as competitors' products and services.  This person must also be able to work professionally and cooperatively with clients and coworkers to build a collaborative work environment.  Computer skills are a must, and a strong knowledge of SEO, SEM, and Microsoft applications are critical.   Additionally, three to five years of experience in the company's industry is typically required by employers, although candidates with strong digital skills in a different field may be accepted.  A bachelor's degree in a relevant area of study is also required, and a master's degree may preferred.      Read less"
Director%2C Computer Operations,
Director%2C Computing%2FNetworking%2FInformation Technology (IT) Security,"Businesses that use computers, the Internet, and/or an intranet to communicate externally and/or internally frequently have a dedicated information technology department to oversee them. The upper-level manager who oversees this department is the director of computing, networking, and information technology (IT) security. They are primarily concerned with maintaining the security and integrity of the company’s online assets. They also establish and maintain policies and procedures related to interdepartment Internet/intranet communication. Additionally, these directors ensure that all employees adhere to these procedures to protect sensitive company data. Additionally, the director of computing, networking, and IT security oversees all policies related to security of data the company may store in a cloud or server environment. They ensure that sensitive data is only available to authorized employees, as well as establish monitoring protocols for the IT team that allows them to identify any breaches of this security in a timely manner. For e-commerce sites, these directors establish and enforce policies related to the storage and retention of sensitive customer data. They ensure that the IT department is using best practice for encryption procedures and that any security holes are closed as quickly and thoroughly as possible.  To work in this upper-level position, a person normally must have at least a bachelor’s degree in computer science or a related field, with some large companies favoring individuals with additional education in the field as well. Candidates for this position must possess substantial practical experience in IT security and be willing to engage in continuing education and training for themselves and their IT team. A director of IT security typically works during regular business hours in an office environment, but as a senior manager, they may be expected to be available at all hours in the event of security emergencies.  Read less"
Director of Analytics,"Directors of analytics supervise a team that provides analytical expertise for their organization. They are in charge of coordinating efforts and provide coaching to staff members in their department.  Directors of analytics spend a large portion of their time performing statistical analysis based on market knowledge and research expertise. They identify patterns based on aggregate data to find risks or opportunities, as well as make performance change recommendations. Directors of analytics create forecasts using analytical information and results, compare sets of data to optimize resource allocation, and support business development through their use of complex data. These directors must follow company procedures to reach all established goals.  Directors of analytics ensure the quality and integrity of market research using standard industry techniques. They manage a group of trained employees that analyze large amounts of information; their team collaborate with other groups in their organization to share important information and increase company awareness of relevant data. Directors of analytics use a personal computer as one of their main tools, and they must be proficient with analytical software. They must also be familiar with word processing and spreadsheet programs to record their findings and create extensive documentation. Directors of analytics must also actively participate in training sessions and respond to employee inquiries in a timely manner.  A bachelor's or masters degree in mathematics, statistics, operations research, or a similar field is necessary for this position. In addition, experience in a managerial capacity is required for this job. Directors of analytics must also have advanced analytical skills to help tackle organizational obstacles. They must also be highly organized professionals that pay strong attention to detail in their daily tasks.  Read less"
Director of Applications,"Directors of applications work in the technology sector to develop and implement applications and data services to be used in clinical or business settings. They also devise strategies to improve business practices, choose appropriate applications, and program new solutions. These directors may oversee developers' work on specific projects and analyses to make the best strategic decisions, so they must have management skills, impart the company's overall vision, and assign daily tasks to subordinates, information technology (IT) staff, and programmers/developers. They must also set and keep budgets for the projects they assign. Directors of applications should have strong IT and management skills to bridge the gap between technology and solutions that affect human enterprises. At least five years of prior experience in a health care or business environment are often required for this position, and some employers also require at least three years in a leadership position. A bachelor's degree in a relevant field and a solid understanding of the engineering process are necessary for this position, and directors of applications report to upper-level management to provide short- and long-term outlooks. They typically work during regular business hours, and some extra hours may occasionally be necessary to meet deadlines.  Read less"
Director of Information Systems,"A director of information systems is generally responsible for the management of the information systems of the business.  This director will usually manage any projects that would be part of the information systems. These projects could include implementation of new software, new equipment installation, or any changes or upgrades in current equipment. The maintenance for equipment would also be monitored and scheduled as part of the position. This person would generally be responsible for the telecommunications of the business. This would include maintaining any data that is stored in these systems. This director would be responsible for finding and maintaining vendors for new installation and communicating to management regarding the schedules that the new installations will follow. A director of information systems would also be responsible for maintaining records of any data files that are stored on the systems. Other responsibilities include checking systems and maintaining data security on a daily basis. This director would review any purchasing, billing, budgeting, and scheduling and work with accounts payable to ensure accuracy. This will include reviewing any contracts that can be updated or re-negotiated for possibly lower fees. Job requirements include being on-call 24/7 for emergencies, but the job would mainly involve standard daytime office hours.  A qualified applicant would possess a bachelor’s degree in information systems or a related field. Finance and accounting experience is also preferred.  Other necessary skills include excellent verbal and written communication and good organization and time management. The successful applicant must have excellent computer and information system skills and should have some supervisory experience. This job would involve some physical work, but it would be mostly mental.  Read less"
Director of Information Technology Services,"The director of information technology services is responsible for planning, organizing, and ensuring the execution of all of the information technology functions to meet the needs and goals of the business. They work as part of an administrative team, as well as supervise the information technology staff that carries out their departmental tasks.  Part of the daily responsibilities of directors of information technology is system management. They oversee upgrades, installations, conversions, and maintenance. They also oversee user training and help desk administration. Their staff may work on the help desk to answer questions and solve problems, as well as offer training on new software for the company. Directors of information technology are also responsible for the company’s internet technology budget. They may create the budget, or at minimum, be required to adhere to certain budgetary constraints. Directors of information technology may also work closely with third-party vendors of technology or services. Often, they work at a business office; however, travel may be required to other business locations or vendor meetings. They typically work during regular business hours, although special projects may additional hours or that they be on call for a period of time. Typically, the director of information technology services is required to have at minimum a bachelor’s degree in computer science, information systems, or a related field. They also are usually asked to have five or more years of experience in a technology and management position. Outstanding written and verbal skills, relevant knowledge of the business field that the company operates in, and strong analytical skills are also a plus.  Read less"
Director of Program Management%2C Computer Software,
Director of Program Management%2C Enterprise Technology Solutions,"The director of program management for enterprise technology solutions provides goals, leadership, and direction for the enterprise project management office. They will be involved in strategic planning, resourcing, and development of software applications. The job includes defining and maintaining the standards of enterprise project management and processes. This will include project prioritization and portfolio governance.  Main responsibilities will include working cross-functionally with others to assign and monitor project success and workload, as well as maintaining a strong business partnership and ongoing dialogue with business partners. The director of program management of enterprise technology solutions should create and maintain an integrated program portfolio and proactively lead the development and deployment of robust business solutions within the established time frame, quality standards, and financial parameters defined with internal and external customers. They should enhance the pace and productivity of development through introduction of industry best practices and modern software development lifecycle approaches.  A bachelor's degree in computer science or related fields is desired, along with professional certifications. Several years experience in software development and management is also desired. Strong written and verbal skills and the ability to manage and work well with others and in teams is needed. Candidates should be able to maintain and use well-rounded and comprehensive knowledge of information technology, including all aspects of the applications' development life cycle, infrastructure hardware and software, product development. This position may require travel. Additional required skills include the ability to drive change in a complex, multi-location environment and the ability to meet management and company standards.  Read less"
Director of Program Management%2C Information Technology (IT),"Information technology (IT) directors of program management are in charge of effectively managing a variety of IT-related projects for their organization. They lead a team of systems professionals to reach all organizational goals, and one of their main responsibilities includes organizing and overseeing all projects in the IT department. They also ensure the efficient use of company resources, as well as the secure operation of information systems. They implement IT initiatives that improve the effectiveness of their company's products or services. These directors prepare departmental budgets, as well as evaluate new equipment as needed. IT directors of program management also complete administrative tasks and compile reports that detail program activity. They generally report their progress to the president or manager in their department.  A bachelor's degree in computer science, computer systems management, or a related field is required for this job. In addition, previous experience in a managerial capacity and industry certifications may be preferred. IT directors of program management should also possess strong leadership skills and have experience interacting with and guiding IT professionals. In addition, they should be able to multitask on a variety of projects and create strategic plans. They must work well independently and in a team setting, as well as be familiar with several programming languages and networking practices. They should also have an advanced understanding of desktop support and vendor interaction.  Read less"
Disaster Recovery Analyst,
Disaster Recovery Specialist%2C IT,
Document Control Supervisor,"A document control supervisor are responsible for developing and implementing document control systems within their organization; they must be able to track documentation throughout the product's entire life cycle. These supervisors are also in charge of supervising subordinate employees, which includes providing instruction, training, and discipline to these employees as needed. They also conduct performance appraisals of other employees and make recommendations for raises and possible promotions. Additionally, document control supervisors audit documents to ensure that they are consistent will company rules and regulations. These supervisors generally work full time in an office setting during regular business hours, although overtime may be required depending on the needs of the business and specific projects. Educational requirements for document control supervisor positions generally include at least a bachelor's degree in a related field, but some companies may accept  a high school diploma or equivalent with substantial work experience. Most companies also look for a minimum of three years of management experience. Document control supervisors must also possess excellent organizational skills, along with proficiency with basic computer programs. Basic math skills, analytical skills, and the ability to communicate effectively are also required for document control supervisors.  Read less"
Documentation Manager,"Documentation managers are responsible for managing all tasks related to documentation for their organization. This includes both the creation and maintenance of all documents. They ensure that all documentation meets the company’s needs and standards, as well as define and track all documentation metrics. Documentation managers typically work in an office environment, sometimes with the opportunity to telecommute. Documentation managers generally work full time during regular business hours. They mostly work independently, though they are responsible for consulting with various teams throughout the company to ensure continuity. Some companies have a documentation team, in which case the documentation manager oversees their work. In any case, documentation managers should possess the ability to mentor and lead others. A bachelor’s degree is typically required for this position, though experience in a related field may be substituted for education. Relevant experience is generally needed for applicants with a bachelor's degree as well. Proficiency with basic computer applications such as the Microsoft Office suite is important to being a documentation manager.   Documentation managers must have strong technical writing skills with a keen eye for detail. Due to the nature of their work, documentation managers tend to have strong communication, analytical, and problem-solving skills. Fluency in another language relevant to their organization's work may be beneficial depending on company needs.   Read less"
ERP Analyst,"ERP analysts are responsible for solving information technology-related problems and working with clients to solve business problems using business knowledge, consulting skills, and packaged solution expertise. These analysts work directly with clients to select, implement, support, and integrate technology solutions into diverse business environments. Duties also include daily maintenance; potential on-call support; monthly, quarterly, and year-end report generation; administration duties; and customization, support, and troubleshooting of ERP systems. ERP analysts generally monitor the EDI process to ensure quality and reliability of EDI transmissions and also maintain interfaces between applications for inventory, order management, purchase order, and accounts payable/receivable modules. Other duties may include documentation and operational support, application support activities, and additional duties as needed in support of the senior IT staff and business users. These analysts work closely with their business to ensure master data is submitted properly to support interfaces. This is primarily an office and business position, but some travel may be required. The position consists mainly of days, but some on-call work may be needed. A Bachelor's degree is generally required, as are several years experience in ERP and/or development and maintenance of data dictionaries. In-depth computer and information technology skills, experience with Oracle, and the ability to troubleshoot Oracle between multiple systems are also required.  Read less"
ERP Business Analyst,
Electronic Data Interchange (EDI) Coordinator,"Electronic data interchange (EDI) coordinators work with a company’s EDI program, maintaining smooth communications for production using EDI tools and ensuring smooth transitions when changes or maintenance are required. This generally consists of tasks such as handling inbound/outbound documents, conducting auditing, handling relevant documents, and networking with partners. EDI coordinators work extensively with information technology (IT) staff and other employees to ensure the EDI program is working as intended. Daily activities performed by EDI coordinators include serving as the initial contact for troubleshooting inquiries, monitoring document transmissions, and identifying opportunities to improve relevant processes. They perform audits to ensure quality standards are being met on a regular basis, and they are also usually responsible for conducting training to keep staff up to date on technology changes. The EDI coordinator typically works full time in an office environment, but teleconferencing or travel may be necessary for occasional management meetings. Requirements for these positions may vary slightly based on each company’s needs, but a technology-oriented bachelor’s degree is often required. Most positions require at least five years of EDI experience. Knowledge of document formats and details is important important to perform daily operations as well. EDI coordinators must have excellent communication skills and be able to discuss technical issues with non-technical staff, such as during trainings.  Read less"
Electronic Data Interchange (EDI) Manager,"An electronic data interchange (EDI) manager oversees an EDI team, who is focused on the analysis, design, and development specifications for enhancements and extensions with EDI application interfaces. An EDI manager should be competent in managing a staff of programmer leads, training supervisors, and interdivisional coordinators. This team reviews and implements tasks as necessary to interface with both customers and vendors.  An EDI manager must often have prior supply chain experience with multiple vendors. He or she must be adept at reading, interpreting, and writing valid reports. Many of these managers must be on call 24/7. He or she must be able to lead and conduct conference calls with customers and vendors. These managers often must possess management experience and be an expert in event delegation. These managers generally oversee the creation of initiatives and drive EDI departmental initiatives to ensure project timelines, processes, quality, budgets, scope, and expectations are met. Employers usually require EDI managers to have at least a bachelor’s degree in a related field. A significant amount of management experience is also usually required. The position generally requires partnering effectively with other members of management, so good communication and teamwork skills are necessary. These managers generally oversee the creation of initiatives and drive EDI departmental initiatives to ensure project timelines, processes, quality, budgets, scope, and expectations are met.   Read less"
Electronic Data Interchange (EDI) Specialist,"The electronic data interchange (EDI) specialist's main objective is to develop, coordinate, implement, and manage all EDI-related developments for their organization. They are responsible for analyzing and designing specifications used for enhancements and extensions in EDI applications, interfaces, and mappings. They coordinate all EDI testing, implementations, and upgrades. Additionally, the EDI specialist serves as the primary link between the business and any data-trading partners; they work with all trading partners to determine the type of data they would like to trade and develop guidelines and specifications for data exchange.  The EDI specialist's day-to-day responsibilities include establishing contact with trading partners, analyzing the data exchanged with any partners, observing data records to record any errors, and correcting any failures. EDI specialists work with employees at all levels of their organization to support accurate, proper data exchanges within the organization. They assist with any testing to observe and interpret messages received and offer updates to their supervisor, typically a departmental lead or supervisor. This position typically is full time and takes place in an office setting. Electronic data interchange specialist positions require a bachelor’s degree in a relevant discipline and at least two to three years of industry experience working with EDI technologies. Excellent interpersonal and multitasking skills are required. Good analytical skills and the ability to easily read and understand complex documents and procedures are necessary as well.  Read less"
Electronic Discovery Technician,
Embedded Software Developer,"Embedded software developers are in charge of creating effective embedded software applications for their organization. They are responsible for programming software capabilities based on project requirements, as well as resolving obstacles as they arise during the development process. Their main functions include coding firmware, troubleshooting software packages as required, providing support packages for embedded systems, and producing high-quality technical documentation for future reference. Generally, embedded software developers report their progress to the software lead in their department.  Other tasks performed by embedded software developers include eliminating software bugs by implementing modules and sub-systems, overseeing defect verification, and taking part in training sessions for newly implemented software. They interact with hardware devices to check for software inconsistencies, as well as perform product and feature design. Additionally, embedded software developers participate in testing meetings to facilitate control processes before shipping and provide valuable feedback for future versions. A bachelor's degree in computer science or a related field is necessary for this position, as is relevant prior experience. Industry certifications may be required or preferred. Embedded software developers should have experience writing boot loaders and developing signal-processing algorithms. They should also be proficient with a variety of operating systems to test for quality problems. They must be organized individuals that can multitask and effectively prioritize key activities, as well as have strong communication abilities to interact with other software developers in a team environment. Embedded software developers need to pay close attention to detail and be able to work on their own with minimal supervision.   Read less"
Embedded Software Development Engineer,"Embedded software development engineers are responsible for creating software code that embeds into their organization's operating system. These professionals develop device drivers using specific engineering requirements. They also strive to implement and test embedded software features to make sure that applications layers are working correctly. These professionals have strong technical and analytical skills to develop excellent solutions to software development challenges.  Embedded software development engineers coordinate and provide resolutions by debugging conflicting code and reviewing specifications before shipping applications. They work well in a cross-functional team to identify validation errors and conduct quality assurance processes. Embedded software development engineers also research different code interactions before implementing capabilities in embedded software. They usually report their progress to the software development vice president in their organization. They also create firmware that helps coordinate and regulate electrical and mechanical systems. One of their main responsibilities is writing detailed reports throughout the concept, development, and testing stages. They are proficient with different coding environments and operating system applications. They share code and integration methods with other engineers. These professionals can manipulate processors and loaders. Embedded software development engineers use their excellent problem-solving skills to provide advice in different methodologies. In addition, they are proficient with different frameworks to develop effective solutions to embedded obstacles.  A bachelor's degree in software engineering, embedded application development, computer science, or a related field is required for this job. In addition, previous years of work experience in a development capacity can be helpful. Industry certifications are a plus.  Read less"
